"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"49","RT @CinemasNic: Recuerden, el estreno de la película será este viernes 27 de abril en todos nuestros cines.

Los horarios de #AvengersInfin…",FALSE,0,NA,2018-04-25 21:12:53,FALSE,NA,"989250919241043968",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","justanothergabb",2,TRUE,FALSE,NA,NA
"50","Salut, juste pour dire que je vais aller me mettre en PLS jusqu'au prochain chapitre des Avengers... Au revoir… https://t.co/p9uCwMBrJO",FALSE,0,NA,2018-04-25 21:12:52,TRUE,NA,"989250917731102721",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","_SaraaJane_",0,FALSE,FALSE,NA,NA
"51","Ci ho giocato per un ora di fila finché non ho finito le energie, poi sono dovuta andare a vedere #AvengersInfinityWar  #HogwartsMystery",FALSE,0,NA,2018-04-25 21:12:50,FALSE,NA,"989250907442438144",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SaraTaby24",0,FALSE,FALSE,NA,NA
"52","RT @StarkIndustrie_: Mon âme n'existe plus ptdr 
Mon corps est vide. 
Je sais pas si je viens d'inventer tout ce que j'ai vue ou si c'est b…",FALSE,0,NA,2018-04-25 21:12:50,FALSE,NA,"989250907090182144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AnthonynBouchet",17,TRUE,FALSE,NA,NA
"53","RT @its_adriaannn: thanos oppa ~
#AvengersInfinityWar https://t.co/evZdcLR7Tj",FALSE,0,NA,2018-04-25 21:12:49,FALSE,NA,"989250905089261568",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Bilipratama",690,TRUE,FALSE,NA,NA
"54","RT @lehuffplay: 20 films Marvel, 6 pierres de l'infini, 1 vidéo pour tout comprendre à ""Avengers 3"", c'est notre vidéo du jour #AvengersInf…",FALSE,0,NA,2018-04-25 21:12:48,FALSE,NA,"989250899758452741",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","HajarAdnani27",15,TRUE,FALSE,NA,NA
"55","RT @JKkoniwa: โคตรสปอย #AvengersInfinityWar #InfinityWarTH https://t.co/IlTbRTjh1z",FALSE,0,NA,2018-04-25 21:12:46,FALSE,NA,"989250892464406529",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","somethingisp",7586,TRUE,FALSE,NA,NA
"56","RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN a @BoxLunchGifts exclusive Unmasked Iron Spider Pop! #AvengersInfinityWar…",FALSE,0,NA,2018-04-25 21:12:46,FALSE,NA,"989250891764195330",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","melted_icelolly",14104,TRUE,FALSE,NA,NA
"57","RT @blizzard357: ชอบความ​สัมพันธ์​ของโทนี่กับปีเตอร์​มากมันแบบคือสลับกันเป็นห่วงอะ โทนี่ก็กลัวปีเตอร์​เป็นอันตราย​ ปีเตอร์​ก็กลัวโทนี่ไม่ไห…",FALSE,0,NA,2018-04-25 21:12:46,FALSE,NA,"989250891587833856",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","kktchx",855,TRUE,FALSE,NA,NA
"58","RT @OriginalFunko: RT &amp; follow @OriginalFunko for a chance to WIN a @BoxLunchGifts exclusive Unmasked Iron Spider Pop! #AvengersInfinityWar…",FALSE,0,NA,2018-04-25 21:12:46,FALSE,NA,"989250890950479873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Hogwarts_fanboy",14104,TRUE,FALSE,NA,NA
